,mantel_r,"p_value (Hommola test based on all data, includes monophyletic clades of MAGs)*","p_value (Hommola test based on subsampled data, includes one MAG per host species)**","p_value (PACo test based on subsampled data, includes one MAG per host species)**",symbiont_tips_count (number of MAGs  in clade),host_tips_count (number of host species with MAGs represented in clade),host_tip_span (total number of host species spanned by host clade),symbiont_subtree,host_subtree,host_clade_depth,symbiont_clade_depth,taxonomic assignment of clade,duplicate_tip
71,0.999382473,0.001,0.081,0.179,14,3,12,"(((((('TungJ_2015__F03__bin_37':0.0071226508,('TungJ_2015__F05__bin_36':2.5445e-06,'TungJ_2015__F23__bin_19':0.000484882)88:0.0007178754)27:2.5488e-06,(('TungJ_2015__M05__bin_37':0.0004260426,'TungJ_2015__F11__bin_20':0.0003594113)44:0.0003597267,'TungJ_2015__F20__bin_17':2.5445e-06)27:0.0002394843)24:1.0007e-06,(('TungJ_2015__M16__bin_39':0.0002404072,'TungJ_2015__F14__bin_21':0.0002434574)58:0.0002387876,'TungJ_2015__F31__bin_171':0.0005558474)35:2.5445e-06)25:0.000481426,('TungJ_2015__M03__bin_8':1.0008e-06,'TungJ_2015__F08__bin_31':0.0021553807)91:0.0004779361)20:2.031e-06,'TungJ_2015__F06__bin_52':0.0004776313)100:0.0801134951,('F02_WC14_S14__DASTool_bins_metabat2_116':0.0121644851,'B04_WC26_S26__DASTool_bins_maxbin2_394_sub':0.006862386)100:0.076910619)100:0.0947909682;","((((('Papio_cynocephalus':2.41,('Papio_hamadryas':1.73232857,'Papio_anubis':1.73232857)30:0.67767143)29:2.67028789,'Theropithecus_gelada':5.08028789)27:8.66928294,'Cercopithecus_ascanius':13.74957083)35:5.67273395,('Piliocolobus_badius':12.8,'Colobus_guereza':12.8)43:6.62230478)42:10.01924203,('Gorilla_gorilla':9.06309552,((('Pan_troglodytes_troglodytes':0.5,'Pan_troglodytes_schweinfurthii':0.5):2.82005943,'Pan_paniscus':2.82005943)40:3.83084557,'Homo_sapiens':6.650905)48:2.41219052)51:20.3784513)47:13.70974953;",59.38309363,0.176798257,d__Bacteria;p__Spirochaetota;c__Spirochaetia;o__Sphaerochaetales;f__Sphaerochaetaceae;g__UBA5920;s__,"TungJ_2015__F20__bin_17,TungJ_2015__F14__bin_21,TungJ_2015__F03__bin_37,TungJ_2015__M16__bin_39,TungJ_2015__F23__bin_19,TungJ_2015__F05__bin_36,TungJ_2015__M03__bin_8,B04_WC26_S26__DASTool_bins_maxbin2_394_sub,TungJ_2015__M05__bin_37,TungJ_2015__F06__bin_52,TungJ_2015__F08__bin_31,TungJ_2015__F11__bin_20,F02_WC14_S14__DASTool_bins_metabat2_116,TungJ_2015__F31__bin_171"
72,0.862806564,0.001,0.029,0.076,12,4,4,"('CosteaPI_2017__SID713A028_11_0_0__bin_37':0.0677767889,((('H04_WC32_S32__DASTool_bins_concoct_139_sub':0.0124570599,(((('E01_WC5_S5__DASTool_bins_concoct_103':0.0030368244,'D04_WC28_S28__DASTool_bins_concoct_194':0.0008724522)100:0.0005811853,'D01_WC4_S4__DASTool_bins_metabat2_079':0.0007613208)99:0.0004839631,'D03_WC20_S20__DASTool_bins_metabat2_115':0.0009698227)60:1.0007e-06,'A01_WC1_S1__DASTool_bins_metabat2_005':0.0012236305)99:0.0080989317)99:0.004303736,'B05_WC34_S34__DASTool_bins_concoct_294':0.0204728873)100:0.0099457725,(('F04_WC30_S30__DASTool_bins_concoct_082':0.00066797,'E04_WC29_S29__DASTool_bins_145':0.0009327537)100:0.0024570166,('B04_WC26_S26__DASTool_bins_maxbin2_007':1.0008e-06,'A04_WC25_S25__DASTool_bins_concoct_157':0.0060833553)100:0.0063181185)100:0.0106745957)100:0.0285893413)100:0.1237818542;","((('Pan_troglodytes_troglodytes':0.5,'Pan_troglodytes_schweinfurthii':0.5):2.82005943,'Pan_paniscus':2.82005943)40:3.83084557,'Homo_sapiens':6.650905)48:2.41219052;",13.80181,0.12678479,d__Bacteria;p__Spirochaetota;c__Spirochaetia;o__Sphaerochaetales;f__Sphaerochaetaceae;g__UBA5920;s__,"B04_WC26_S26__DASTool_bins_maxbin2_007,F04_WC30_S30__DASTool_bins_concoct_082,A04_WC25_S25__DASTool_bins_concoct_157,D03_WC20_S20__DASTool_bins_metabat2_115,D01_WC4_S4__DASTool_bins_metabat2_079,E01_WC5_S5__DASTool_bins_concoct_103,D04_WC28_S28__DASTool_bins_concoct_194,CosteaPI_2017__SID713A028_11_0_0__bin_37,E04_WC29_S29__DASTool_bins_145,B05_WC34_S34__DASTool_bins_concoct_294,H04_WC32_S32__DASTool_bins_concoct_139_sub,A01_WC1_S1__DASTool_bins_metabat2_005"
74,0.875564599,0.001,0.051,0.088,10,4,4,"('CosteaPI_2017__SID713B041_11_0_0__bin_34':0.0357413889,((('G03_WC23_S23__DASTool_bins_G03_WC23_S23__bin_102':0.0065566477,('B04_WC26_S26__DASTool_bins_concoct_306_sub':0.0086682453,'A04_WC25_S25__DASTool_bins_concoct_178':1.0008e-06)100:0.0013731845)100:0.0013464029,'F04_WC30_S30__DASTool_bins_concoct_105':0.0052509014)100:0.0251108611,((('E01_WC5_S5__DASTool_bins_concoct_154':1.0008e-06,'WC5_50':0.0046463994)100:0.0006205575,('C03_WC19_S19__DASTool_bins_concoct_225_sub':0.0037985044,'A01_WC1_S1__DASTool_bins_concoct_036_sub':0.000747088)100:2.26432e-05)100:0.0264462571,'B05_WC34_S34__DASTool_bins_concoct_188':0.034620635)100:0.0135704148)100:0.0256006138)100:0.0376722438;","((('Pan_troglodytes_troglodytes':0.5,'Pan_troglodytes_schweinfurthii':0.5):2.82005943,'Pan_paniscus':2.82005943)40:3.83084557,'Homo_sapiens':6.650905)48:2.41219052;",13.80181,0.109533053,d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Bacteroidaceae;g__Prevotella;s__,"F04_WC30_S30__DASTool_bins_concoct_105,G03_WC23_S23__DASTool_bins_G03_WC23_S23__bin_102,A04_WC25_S25__DASTool_bins_concoct_178,WC5_50,CosteaPI_2017__SID713B041_11_0_0__bin_34,A01_WC1_S1__DASTool_bins_concoct_036_sub,C03_WC19_S19__DASTool_bins_concoct_225_sub,E01_WC5_S5__DASTool_bins_concoct_154,B05_WC34_S34__DASTool_bins_concoct_188,B04_WC26_S26__DASTool_bins_concoct_306_sub"
76,0.895210663,0.001,0.036,0.037,29,4,4,"(((('ZeeviD_2015__PNP_Main_124_megahit__bin_33':0.0090383364,'s02_bin_439_filtered':0.0132944622)100:0.0554222771,('BritoIL_2016__WL_20_ST__bin_39':0.0488365049,((((('H04_WC32_S32__DASTool_bins_concoct_052':0.0002218341,'G04_WC31_S31__DASTool_bins_concoct_104':0.000445657)100:0.0025804386,'A05_WC33_S33__DASTool_bins_concoct_143':0.0040322835)100:0.0018949958,('D05_WC36_S36__DASTool_bins_metabat2_016':0.0002289034,'C05_WC35_S35__DASTool_bins_concoct_301':0.0051220233)100:0.002600547)100:0.0058910379,((('E02_WC13_S13__DASTool_bins_concoct_182':0.0034795542,'B01_WC2_S2__DASTool_bins_concoct_158':0.004066683)100:0.0013949166,(((((('E01_WC5_S5__DASTool_bins_concoct_251':0.0002281135,'WC5_bin_105':1.0008e-06)100:0.0002792405,'WC17_156':0.0053569267)100:0.0008357574,(('D03_WC20_S20__DASTool_bins_concoct_183':1.0008e-06,'C03_WC19_S19__DASTool_bins_concoct_065':1.0008e-06)100:0.0016046004,'WC3_19':0.0192970463)30:0.0004010541)30:0.0006686182,('D02_WC12_S12__DASTool_bins_14_sub':0.0008155052,'WC16_61':0.0036223564)37:2.9399e-06)30:0.0004456058,'WC9_104':1.0008e-06)30:0.0005428134,'D04_WC28_S28__DASTool_bins_concoct_280':0.0004369165)38:0.0011814186)41:0.0015790071,'A01_WC1_S1__DASTool_bins_concoct_159':0.0018313723)100:0.0070780773)100:0.0148744984,((('F04_WC30_S30__DASTool_bins_metabat2_086':1.0008e-06,'E04_WC29_S29__DASTool_bins_118':0.0057936178)100:0.0034115055,'C04_WC27_S27__DASTool_bins_concoct_054':0.0004464694)100:0.0023713051,('F03_WC22_S22__DASTool_bins_metabat2_036':0.0146769487,('B04_WC26_S26__DASTool_bins_metabat2_101':1.0008e-06,'A04_WC25_S25__DASTool_bins_concoct_044':0.0004409031)100:0.003024589)100:0.0010831066)100:0.027839553)100:0.0479646456)79:0.0086663137)93:0.0094173382,'BackhedF_2015__SID335_M__bin_15':0.0559888687)100:0.0167835821,'LeChatelierE_2013__MH0175__bin_49':0.0634337177)100:0.0286278072;","((('Pan_troglodytes_troglodytes':0.5,'Pan_troglodytes_schweinfurthii':0.5):2.82005943,'Pan_paniscus':2.82005943)40:3.83084557,'Homo_sapiens':6.650905)48:2.41219052;",13.80181,0.192333737,d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__UBA932;g__RC9;s__,"BackhedF_2015__SID335_M__bin_15,G04_WC31_S31__DASTool_bins_concoct_104,ZeeviD_2015__PNP_Main_124_megahit__bin_33,C04_WC27_S27__DASTool_bins_concoct_054,D05_WC36_S36__DASTool_bins_metabat2_016,D04_WC28_S28__DASTool_bins_concoct_280,C05_WC35_S35__DASTool_bins_concoct_301,WC9_104,WC3_19,C03_WC19_S19__DASTool_bins_concoct_065,WC16_61,E04_WC29_S29__DASTool_bins_118,LeChatelierE_2013__MH0175__bin_49,A05_WC33_S33__DASTool_bins_concoct_143,A01_WC1_S1__DASTool_bins_concoct_159,s02_bin_439_filtered,B01_WC2_S2__DASTool_bins_concoct_158,WC5_bin_105,H04_WC32_S32__DASTool_bins_concoct_052,A04_WC25_S25__DASTool_bins_concoct_044,WC17_156,B04_WC26_S26__DASTool_bins_metabat2_101,D03_WC20_S20__DASTool_bins_concoct_183,F03_WC22_S22__DASTool_bins_metabat2_036,E01_WC5_S5__DASTool_bins_concoct_251,BritoIL_2016__WL_20_ST__bin_39,D02_WC12_S12__DASTool_bins_14_sub,F04_WC30_S30__DASTool_bins_metabat2_086,E02_WC13_S13__DASTool_bins_concoct_182"
79,0.916017989,0.001,0.041,0.035,28,4,4,"((('ZeeviD_2015__PNP_Main_124_megahit__bin_33':0.0090383364,'s02_bin_439_filtered':0.0132944622)100:0.0554222771,('BritoIL_2016__WL_20_ST__bin_39':0.0488365049,((((('H04_WC32_S32__DASTool_bins_concoct_052':0.0002218341,'G04_WC31_S31__DASTool_bins_concoct_104':0.000445657)100:0.0025804386,'A05_WC33_S33__DASTool_bins_concoct_143':0.0040322835)100:0.0018949958,('D05_WC36_S36__DASTool_bins_metabat2_016':0.0002289034,'C05_WC35_S35__DASTool_bins_concoct_301':0.0051220233)100:0.002600547)100:0.0058910379,((('E02_WC13_S13__DASTool_bins_concoct_182':0.0034795542,'B01_WC2_S2__DASTool_bins_concoct_158':0.004066683)100:0.0013949166,(((((('E01_WC5_S5__DASTool_bins_concoct_251':0.0002281135,'WC5_bin_105':1.0008e-06)100:0.0002792405,'WC17_156':0.0053569267)100:0.0008357574,(('D03_WC20_S20__DASTool_bins_concoct_183':1.0008e-06,'C03_WC19_S19__DASTool_bins_concoct_065':1.0008e-06)100:0.0016046004,'WC3_19':0.0192970463)30:0.0004010541)30:0.0006686182,('D02_WC12_S12__DASTool_bins_14_sub':0.0008155052,'WC16_61':0.0036223564)37:2.9399e-06)30:0.0004456058,'WC9_104':1.0008e-06)30:0.0005428134,'D04_WC28_S28__DASTool_bins_concoct_280':0.0004369165)38:0.0011814186)41:0.0015790071,'A01_WC1_S1__DASTool_bins_concoct_159':0.0018313723)100:0.0070780773)100:0.0148744984,((('F04_WC30_S30__DASTool_bins_metabat2_086':1.0008e-06,'E04_WC29_S29__DASTool_bins_118':0.0057936178)100:0.0034115055,'C04_WC27_S27__DASTool_bins_concoct_054':0.0004464694)100:0.0023713051,('F03_WC22_S22__DASTool_bins_metabat2_036':0.0146769487,('B04_WC26_S26__DASTool_bins_metabat2_101':1.0008e-06,'A04_WC25_S25__DASTool_bins_concoct_044':0.0004409031)100:0.003024589)100:0.0010831066)100:0.027839553)100:0.0479646456)79:0.0086663137)93:0.0094173382,'BackhedF_2015__SID335_M__bin_15':0.0559888687)100:0.0167835821;","((('Pan_troglodytes_troglodytes':0.5,'Pan_troglodytes_schweinfurthii':0.5):2.82005943,'Pan_paniscus':2.82005943)40:3.83084557,'Homo_sapiens':6.650905)48:2.41219052;",13.80181,0.171415838,d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__UBA932;g__RC9;s__,"BackhedF_2015__SID335_M__bin_15,G04_WC31_S31__DASTool_bins_concoct_104,ZeeviD_2015__PNP_Main_124_megahit__bin_33,C04_WC27_S27__DASTool_bins_concoct_054,D05_WC36_S36__DASTool_bins_metabat2_016,D04_WC28_S28__DASTool_bins_concoct_280,C05_WC35_S35__DASTool_bins_concoct_301,WC9_104,WC3_19,C03_WC19_S19__DASTool_bins_concoct_065,WC16_61,E04_WC29_S29__DASTool_bins_118,A05_WC33_S33__DASTool_bins_concoct_143,A01_WC1_S1__DASTool_bins_concoct_159,s02_bin_439_filtered,B01_WC2_S2__DASTool_bins_concoct_158,WC5_bin_105,H04_WC32_S32__DASTool_bins_concoct_052,A04_WC25_S25__DASTool_bins_concoct_044,WC17_156,B04_WC26_S26__DASTool_bins_metabat2_101,D03_WC20_S20__DASTool_bins_concoct_183,F03_WC22_S22__DASTool_bins_metabat2_036,E01_WC5_S5__DASTool_bins_concoct_251,BritoIL_2016__WL_20_ST__bin_39,D02_WC12_S12__DASTool_bins_14_sub,F04_WC30_S30__DASTool_bins_metabat2_086,E02_WC13_S13__DASTool_bins_concoct_182"
81,0.945288043,0.002,0.009,0.092,12,4,5,"(('HicksAL_2018__WDG_0087__bin_28':0.003235294,('HicksAL_2018__WDG_0154__bin_51':0.0130298769,'HicksAL_2018__WDG_0145__bin_22':0.0031831209)100:0.0041138242)100:0.0483950807,(('G04_WC31_S31__DASTool_bins_metabat2_018':0.0170256603,((('F02_WC14_S14__DASTool_bins_concoct_110':0.0016888417,'A01_WC1_S1__DASTool_bins_concoct_031':0.0061868946)100:0.0003492208,'C03_WC19_S19__DASTool_bins_metabat2_127':0.0003142059)100:0.0120907487,'E04_WC29_S29__DASTool_bins_E04_WC29_S29__bin_162':0.0117907398)100:0.0051532957)100:0.0048071153,((('D03_WC20_S20__DASTool_bins_concoct_022_sub':0.0020584734,'WC16_84':0.0120709928)100:0.0004163804,'WC3_122':0.0083869315)100:0.0013161038,'AmatoKR_2018__qiita_sid_11212_11212_Ptr10__bin_22':0.0072230518)100:0.0117518072)100:0.0359246865)100:0.0271091696;","('Gorilla_gorilla':9.06309552,((('Pan_troglodytes_troglodytes':0.5,'Pan_troglodytes_schweinfurthii':0.5):2.82005943,'Pan_paniscus':2.82005943)40:3.83084557,'Homo_sapiens':6.650905)48:2.41219052)51:20.3784513;",18.62619104,0.130050743,d__Bacteria;p__Actinobacteriota;c__Coriobacteriia;o__Coriobacteriales;f__Eggerthellaceae;g__CAG-1427;s__,"HicksAL_2018__WDG_0154__bin_51,A01_WC1_S1__DASTool_bins_concoct_031,AmatoKR_2018__qiita_sid_11212_11212_Ptr10__bin_22,WC16_84,E04_WC29_S29__DASTool_bins_E04_WC29_S29__bin_162,WC3_122,F02_WC14_S14__DASTool_bins_concoct_110,G04_WC31_S31__DASTool_bins_metabat2_018,HicksAL_2018__WDG_0145__bin_22,HicksAL_2018__WDG_0087__bin_28,C03_WC19_S19__DASTool_bins_metabat2_127,D03_WC20_S20__DASTool_bins_concoct_022_sub"
83,0.96463215,0.003,0.043,0.039,9,4,12,"(((('HicksAL_2018__WDG_0002__bin_31':0.0052326364,(('HicksAL_2018__WDG_0027__bin_28':0.0005419672,'HicksAL_2018__WDG_0028__bin_42':0.0002985645)100:0.000287774,'HicksAL_2018__WDG_0058__bin_12':0.0003120518)97:0.0006204776)97:0.0005392714,'HicksAL_2018__WDG_0033__bin_19':0.0011648649)100:0.0177588968,(('E01_WC5_S5__DASTool_bins_concoct_058':0.0006061566,'WC5_126':0.0025975405)100:0.0007574089,'D04_WC28_S28__DASTool_bins_concoct_245':0.0007214866)100:0.0231387259)100:0.2427759151,'AmatoKR_2018__qiita_sid_11212_11212_JB29__bin_7':0.1801847497)100:0.0625517166;","((((('Papio_cynocephalus':2.41,('Papio_hamadryas':1.73232857,'Papio_anubis':1.73232857)30:0.67767143)29:2.67028789,'Theropithecus_gelada':5.08028789)27:8.66928294,'Cercopithecus_ascanius':13.74957083)35:5.67273395,('Piliocolobus_badius':12.8,'Colobus_guereza':12.8)43:6.62230478)42:10.01924203,('Gorilla_gorilla':9.06309552,((('Pan_troglodytes_troglodytes':0.5,'Pan_troglodytes_schweinfurthii':0.5):2.82005943,'Pan_paniscus':2.82005943)40:3.83084557,'Homo_sapiens':6.650905)48:2.41219052)51:20.3784513)47:13.70974953;",59.38309363,0.44945434,d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__UBA932;g__;s__,"HicksAL_2018__WDG_0027__bin_28,HicksAL_2018__WDG_0033__bin_19,WC5_126,HicksAL_2018__WDG_0002__bin_31,E01_WC5_S5__DASTool_bins_concoct_058,HicksAL_2018__WDG_0058__bin_12,D04_WC28_S28__DASTool_bins_concoct_245,HicksAL_2018__WDG_0028__bin_42"
86,0.986606404,0.001,0.021,0.079,9,4,20,"(('VincentC_2016__MM103_3_megahit__bin_6':0.0755124367,'CM_periimplantitis__SP_287SPT_T016__bin_35':0.0489869876)100:0.0784048834,('AmatoKR_2018__qiita_sid_11212_11212_AsenLink4__bin_14':0.0238097482,((('AmatoKR_2018__qiita_sid_11212_11212_APF39__bin_8':1.0008e-06,'AmatoKR_2018__qiita_sid_11212_11212_APF103__bin_10':0.0011325333)100:0.0010254259,('AmatoKR_2018__qiita_sid_11212_11212_APF37__bin_6':0.0053905648,'AmatoKR_2018__qiita_sid_11212_11212_APF104__bin_2':0.0007243903)100:0.0051070548)100:0.0189779567,('AmatoKR_2018__qiita_sid_11212_11212_Apalw14__bin_13':0.000687608,'AmatoKR_2018__qiita_sid_11212_11212_APAL36__bin_9':0.008526449)100:0.0131315078)100:0.009514052)100:0.1215916451)100:0.0331611808;","(('Cebus_capucinus':20.6635964,((('Alouatta_pigra':3.19525,'Alouatta_palliata':3.19525)11:1.67410167,('Alouatta_seniculus':3.90438167,'Alouatta_caraya':3.90438167)10:0.96497)19:10.02098405,(('Ateles_hybridus':4.65265,'Ateles_belzebuth':4.65265)9:7.47888462,'Lagothrix_lagotricha':12.13153462)22:2.7588011)8:5.77326069)6:22.48769995,((((('Papio_cynocephalus':2.41,('Papio_hamadryas':1.73232857,'Papio_anubis':1.73232857)30:0.67767143)29:2.67028789,'Theropithecus_gelada':5.08028789)27:8.66928294,'Cercopithecus_ascanius':13.74957083)35:5.67273395,('Piliocolobus_badius':12.8,'Colobus_guereza':12.8)43:6.62230478)42:10.01924203,('Gorilla_gorilla':9.06309552,((('Pan_troglodytes_troglodytes':0.5,'Pan_troglodytes_schweinfurthii':0.5):2.82005943,'Pan_paniscus':2.82005943)40:3.83084557,'Homo_sapiens':6.650905)48:2.41219052)51:20.3784513)47:13.70974953)39:30.685598;",86.80259271,0.314498594,d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Bacteroidaceae;g__Prevotella;s__,"AmatoKR_2018__qiita_sid_11212_11212_APF39__bin_8,VincentC_2016__MM103_3_megahit__bin_6,AmatoKR_2018__qiita_sid_11212_11212_APF103__bin_10,AmatoKR_2018__qiita_sid_11212_11212_AsenLink4__bin_14,CM_periimplantitis__SP_287SPT_T016__bin_35,AmatoKR_2018__qiita_sid_11212_11212_APF104__bin_2,AmatoKR_2018__qiita_sid_11212_11212_Apalw14__bin_13,AmatoKR_2018__qiita_sid_11212_11212_APF37__bin_6,AmatoKR_2018__qiita_sid_11212_11212_APAL36__bin_9"
87,0.987419034,0.001,0.05,0.072,13,4,23,"((((('WC34_WC34_007':0.0280680804,'WC9_107':0.0251924094)87:0.0131348294,('B05_WC34_S34__DASTool_bins_metabat2_306':0.0026191968,'A05_WC33_S33__DASTool_bins_concoct_172':1.0008e-06)99:0.0021728455)87:0.0051220698,((('E02_WC13_S13__DASTool_bins_concoct_119':0.0002653615,('D03_WC20_S20__DASTool_bins_concoct_232_sub':0.0033884631,'C03_WC19_S19__DASTool_bins_concoct_036':0.0026045566)94:0.0004494555)81:0.000325135,'D02_WC12_S12__DASTool_bins_D02_WC12_S12__bin_90':0.0046583765)87:0.0013170232,'A01_WC1_S1__DASTool_bins_concoct_121':0.001085521)87:0.0036455257)100:0.0273952343,'HicksAL_2018__WDG_0145__bin_12':0.0531931993)100:0.0658260407,(('AmatoKR_2018__qiita_sid_11212_11212_PVQui__bin_21':1.0008e-06,'AmatoKR_2018__qiita_sid_11212_11212_PVPet__bin_12':0.0051525377)94:0.0027320041,'AmatoKR_2018__qiita_sid_11212_11212_PVAbb__bin_22':2.1647e-06)100:0.1942011786)100:0.0187643254;","(('Propithecus_verreauxi':38.36398632,('Lemur_catta':19.5138425,'Eulemur_rubriventer':19.5138425)14:18.85014382)13:35.47290803,(('Cebus_capucinus':20.6635964,((('Alouatta_pigra':3.19525,'Alouatta_palliata':3.19525)11:1.67410167,('Alouatta_seniculus':3.90438167,'Alouatta_caraya':3.90438167)10:0.96497)19:10.02098405,(('Ateles_hybridus':4.65265,'Ateles_belzebuth':4.65265)9:7.47888462,'Lagothrix_lagotricha':12.13153462)22:2.7588011)8:5.77326069)6:22.48769995,((((('Papio_cynocephalus':2.41,('Papio_hamadryas':1.73232857,'Papio_anubis':1.73232857)30:0.67767143)29:2.67028789,'Theropithecus_gelada':5.08028789)27:8.66928294,'Cercopithecus_ascanius':13.74957083)35:5.67273395,('Piliocolobus_badius':12.8,'Colobus_guereza':12.8)43:6.62230478)42:10.01924203,('Gorilla_gorilla':9.06309552,((('Pan_troglodytes_troglodytes':0.5,'Pan_troglodytes_schweinfurthii':0.5):2.82005943,'Pan_paniscus':2.82005943)40:3.83084557,'Homo_sapiens':6.650905)48:2.41219052)51:20.3784513)47:13.70974953)39:30.685598);",148.1737887,0.341631975,d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Bacteroidaceae;g__Prevotellamassilia;s__,"D03_WC20_S20__DASTool_bins_concoct_232_sub,D02_WC12_S12__DASTool_bins_D02_WC12_S12__bin_90,C03_WC19_S19__DASTool_bins_concoct_036,A05_WC33_S33__DASTool_bins_concoct_172,AmatoKR_2018__qiita_sid_11212_11212_PVQui__bin_21,HicksAL_2018__WDG_0145__bin_12,AmatoKR_2018__qiita_sid_11212_11212_PVPet__bin_12,E02_WC13_S13__DASTool_bins_concoct_119,B05_WC34_S34__DASTool_bins_metabat2_306,WC9_107,AmatoKR_2018__qiita_sid_11212_11212_PVAbb__bin_22,WC34_WC34_007,A01_WC1_S1__DASTool_bins_concoct_121"
88,0.988570894,0.001,0.041,0.093,16,4,12,"('AmatoKR_2018__qiita_sid_11212_11212_JB13__bin_10':0.070703646,((((('H04_WC32_S32__DASTool_bins_concoct_036_sub':1.0008e-06,'G04_WC31_S31__DASTool_bins_concoct_183':1.0008e-06)100:0.0013309845,'C05_WC35_S35__DASTool_bins_concoct_278':0.0024630433)100:0.0005430819,'A05_WC33_S33__DASTool_bins_concoct_101':0.0023009512)100:0.0023436795,(('E01_WC5_S5__DASTool_bins_maxbin2_142':0.0006760098,'D04_WC28_S28__DASTool_bins_concoct_169':0.0010566888)100:0.0008664959,(('D03_WC20_S20__DASTool_bins_concoct_297':0.0017718249,'D01_WC4_S4__DASTool_bins_maxbin2_100':0.0024912835)63:0.0003714412,'C03_WC19_S19__DASTool_bins_concoct_042':0.0004982926)100:0.0010708881)100:0.0065228584)100:0.0071965695,((('H03_WC24_S24__DASTool_bins_41':1.0008e-06,'G03_WC23_S23__DASTool_bins_79':1.0008e-06)100:0.0015280506,('B04_WC26_S26__DASTool_bins_concoct_328':1.0008e-06,'A04_WC25_S25__DASTool_bins_concoct_304':1.0008e-06)100:0.0021591152)100:0.0008303167,('F04_WC30_S30__DASTool_bins_concoct_197':0.0024383528,'F03_WC22_S22__DASTool_bins_maxbin2_035_sub':0.0032843841)100:0.0007361933)100:0.0105703055)100:0.0748607222)100:0.0307098551;","((((('Papio_cynocephalus':2.41,('Papio_hamadryas':1.73232857,'Papio_anubis':1.73232857)30:0.67767143)29:2.67028789,'Theropithecus_gelada':5.08028789)27:8.66928294,'Cercopithecus_ascanius':13.74957083)35:5.67273395,('Piliocolobus_badius':12.8,'Colobus_guereza':12.8)43:6.62230478)42:10.01924203,('Gorilla_gorilla':9.06309552,((('Pan_troglodytes_troglodytes':0.5,'Pan_troglodytes_schweinfurthii':0.5):2.82005943,'Pan_paniscus':2.82005943)40:3.83084557,'Homo_sapiens':6.650905)48:2.41219052)51:20.3784513)47:13.70974953;",59.38309363,0.163217409,d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__;g__;s__,"C05_WC35_S35__DASTool_bins_concoct_278,D01_WC4_S4__DASTool_bins_maxbin2_100,C03_WC19_S19__DASTool_bins_concoct_042,G03_WC23_S23__DASTool_bins_79,F03_WC22_S22__DASTool_bins_maxbin2_035_sub,A04_WC25_S25__DASTool_bins_concoct_304,H03_WC24_S24__DASTool_bins_41,B04_WC26_S26__DASTool_bins_concoct_328,A05_WC33_S33__DASTool_bins_concoct_101,D03_WC20_S20__DASTool_bins_concoct_297,F04_WC30_S30__DASTool_bins_concoct_197,AmatoKR_2018__qiita_sid_11212_11212_JB13__bin_10,H04_WC32_S32__DASTool_bins_concoct_036_sub,D04_WC28_S28__DASTool_bins_concoct_169,G04_WC31_S31__DASTool_bins_concoct_183,E01_WC5_S5__DASTool_bins_maxbin2_142"
